Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,Nivel1,Nivel2,Nivel3,FccTot,FccArb,DisEsp,ComEsp,Tesela,Poligon,TipEstr,Huso
45,"0601","A",,"626","323876","4421810","1","2","3",,"15","9",,,1133002,34,30
45,"0602","A",,"626","324892","4421828","1","2","3",,"15","9",,,1133002,34,30
45,"0603","A",,"626","325888","4421839","1","1","3",,"25","9",,,1133434,34,30
45,"0609","A",,"626","322931","4419787","1","2","3",,"10","9",,,1132790,34,30
45,"0610","A",,"626","323860","4419847","1","1","3",,"35","9",,,1133727,34,30
45,"0613","A",,"626","314890","4418793","1","1","3",,"45","9",,,1133963,34,30
45,"0618","A",,"626","316899","4417804","1","1","3",,"35","9",,,1133725,34,30
45,"0619","A",,"626","317890","4417793","1","1","3",,"25","9",,,1133431,34,30
45,"0620","A",,"626","318900","4417777","1","1","3",,"25","9",,,1133431,34,30
45,"0621","A",,"626","313874","4416816","1","1","3",,"25","9",,,1133430,34,30
45,"0622","A",,"626","314890","4416793","1","1","3",,"25","9",,,1133430,34,30
45,"0623","A",,"626","315887","4416826","1","1","3",,"25","9",,,1133430,34,30
45,"0626","A",,"626","318903","4416786","1","1","3",,"25","9",,,1133431,34,30
45,"0629","A",,"626","315899","4415788","1","1","3",,"30","9",,,1133601,34,30
45,"0631","A",,"626","317875","4415784","1","1","3",,"30","9",,,1133601,34,30
45,"0632","A",,"626","318890","4415793","1","1","3",,"30","9",,,1133601,34,30
45,"0633","A",,"626","313874","4414830","1","2","3",,"10","9",,,1132788,34,30
45,"0634","A",,"626","314889","4414812","1","1","3",,"25","9",,,1133430,34,30
45,"0635","A",,"626","315890","4414793","1","1","3",,"30","9",,,1133601,34,30
