Estrato,Estadillo,Cla,Subclase,Especie,CD,NPies,ABas,VCC,VSC,IAVC,VLE,BA,BR,CA,CR,Proceso,Provincia
"02","1139","A","1","045",70,5.092962480782025,2.067844,3.912116327631365,3.443700763516996,0.02691557510395319,3.475467434017208,19.97293059374394,6.687471961649993,9.98646529687197,3.343735980824996,"45","45"
"01","1140","A","1","045",10,127.3240620195506,0.9025,1.854187261802366,1.005579116256454,0.08687957580344838,0.4824594648231179,3.620813027798026,2.918713135705168,1.810406513899013,1.459356567852584,"45","45"
"01","1140","A","1","045",15,31.83101550488765,0.4096,0.7255612892578087,0.4188379227407441,0.03061150956218088,0.2592135327079388,1.644326446125237,1.324659169401482,0.8221632230626187,0.6623295847007409,"45","45"
"01","1140","A","1","045",20,31.83101550488765,0.8235562499999999,1.393980737630829,1.002137218775499,0.04475527779666385,0.6350797323778312,3.623805937177203,2.663406587110348,1.811902968588601,1.331703293555174,"45","45"
"01","1141","A","1","044",10,127.3240620195506,1.177225,2.974902456474248,2.016353709360779,0.07589413581902939,0.4922273368188627,5.726991535243081,2.533125264595316,2.86349576762154,1.266562632297658,"45","45"
"01","1141","A","1","045",10,509.2962480782024,3.42465,6.759901086790233,5.279244167978923,0.3343920790778944,1.818065788462508,13.73963139684045,11.07542486447945,6.869815698420226,5.537712432239727,"45","45"
"01","1141","A","1","045",15,63.6620310097753,1.087825,2.317467960508855,1.694429460302529,0.0716111728329626,0.7459586794986317,4.506542146954484,3.518059963267008,2.253271073477242,1.759029981633504,"45","45"
"01","1141","A","1","045",20,31.83101550488765,0.9072562500000001,1.646254534158016,1.222455120950125,0.04710161154663692,0.719052333657237,4.219031426452295,2.934094996482673,2.109515713226148,1.467047498241337,"45","45"
"01","1141","A","1","045",25,14.14711800217229,0.8100000000000001,1.45756093079511,1.1782576628346,0.02996217728653883,0.7820613501338082,4.551791946420458,2.619565251990234,2.275895973210229,1.309782625995117,"45","45"
"17","1148","A","1","023",10,127.3240620195506,0.664225,1.239835154215154,0.8457738272133375,0.1019631471846483,0.06738820098660438,3.267048871521495,0.9894903536107513,1.633524435760747,0.4947451768053757,"45","45"
"17","1148","A","1","023",30,14.14711800217229,0.9768027777777777,2.12285124498516,1.4889163953288,0.1132569444064473,0.3823903658059735,3.225988646885863,1.455134820266171,1.612994323442932,0.7275674101330855,"45","45"
"07","1149","A","1","023",25,42.44135400651687,2.065163888888889,8.532648814522043,5.552455144964362,0.2561908944979919,0.6767003338832536,7.416959705405028,3.076457144312275,3.708479852702514,1.538228572156138,"45","45"
"07","1149","A","1","026",20,159.1550775244383,5.168693749999999,21.5115511109686,13.05078691308547,1.407053784616635,1.331900403357406,13.21801702221914,3.301063940329893,6.609008511109568,1.650531970164946,"45","45"
"07","1149","A","1","026",25,226.3538880347566,11.08528611111111,49.42292854262284,30.45657404912451,2.881809305728921,3.000663645807346,30.27216790443826,8.346812025613543,15.13608395221913,4.173406012806772,"45","45"
"07","1149","A","1","026",30,226.3538880347566,15.42254444444444,72.20607058452316,45.19104835568604,3.826727184198028,4.343196261719532,44.80919105882342,13.2552931467355,22.40459552941171,6.627646573367752,"45","45"
"07","1149","A","1","026",35,14.14711800217229,1.4161,7.335859246938134,4.706349831165676,0.3282371025258713,0.4174828419545758,4.538513176677054,1.418184139696479,2.269256588338527,0.7090920698482396,"45","45"
"07","1149","A","1","237",15,31.83101550488765,0.41925625,1.22874278355821,1.014437165788902,0.03361297193877633,0.1596176893687028,2.045714087452532,0.4094354053202359,1.022857043726266,0.204717702660118,"45","45"
"10","1150","A","1","044",10,127.3240620195506,0.6560999999999999,1.00849542288278,0.6094830595256567,0.04365026607947636,0.2391235933698493,3.439765979989489,1.411780658838359,1.719882989994744,0.7058903294191796,"45","45"
"10","1150","A","1","045",10,254.6481240391012,1.52065,2.397328962619871,1.407335352656881,0.1552147435270402,0.7832825696666369,6.100819203015033,4.917829506714753,3.050409601507516,2.458914753357377,"45","45"
"02","1152","A","1","044",25,14.14711800217229,0.7511111111111112,1.425548561672779,1.067696854388019,0.03989392180125861,0.473549707487724,3.628976090835688,1.616223349040171,1.814488045417844,0.8081116745200857,"45","45"
"02","1152","A","1","045",10,381.9721860586518,3.05385,5.489214763834411,2.726517631448953,0.2745173218649754,1.728183946099286,12.25198877001773,9.876246104679478,6.125994385008866,4.938123052339739,"45","45"
"02","1152","A","1","045",15,31.83101550488765,0.3969,0.6605632073095821,0.3621519430627905,0.03007626019127075,0.2489476214192007,1.592442425650705,1.283586973475215,0.7962212128253527,0.6417934867376074,"45","45"
"05","1156","A","1","045",45,5.092962480782025,0.755161,1.443147900499226,1.232484949659862,0.01713481945046807,0.9544153548674811,6.032934185555724,2.442214216368145,3.016467092777862,1.221107108184073,"45","45"
